Disparity of Point  9482 =  (1063, 127) = 28
Disparity of Point  16890 =  (878, 202) = 16
Disparity of Point  16891 =  (878, 202) = 16
Disparity of Point  16901 =  (978, 202) = 22
Disparity of Point  16902 =  (979, 202) = 22
Disparity of Point  16903 =  (979, 202) = 22
Disparity of Point  16904 =  (980, 202) = 22
Disparity of Point  16905 =  (980, 202) = 22
Disparity of Point  16906 =  (982, 202) = 23
Disparity of Point  16907 =  (982, 202) = 23
Disparity of Point  16908 =  (990, 202) = 23
Disparity of Point  16909 =  (990, 202) = 23
Disparity of Point  16910 =  (993, 202) = 23
Disparity of Point  16911 =  (993, 202) = 23
Disparity of Point  16912 =  (997, 202) = 23
Disparity of Point  16913 =  (997, 202) = 23
Disparity of Point  16946 =  (438, 203) = 14
Disparity of Point  16948 =  (468, 203) = 10
Disparity of Point  16949 =  (468, 203) = 10
Disparity of Point  16964 =  (508, 203) = 10
Disparity of Point  16965 =  (508, 203) = 10
Disparity of Point  16970 =  (630, 203) = 10
Disparity of Point  16971 =  (630, 203) = 10
Disparity of Point  16972 =  (631, 203) = 10
Disparity of Point  16977 =  (652, 203) = 12
Disparity of Point  16978 =  (652, 203) = 12
Disparity of Point  16985 =  (737, 203) = 24
Disparity of Point  16986 =  (737, 203) = 24
Disparity of Point  17003 =  (847, 203) = 14
Disparity of Point  17004 =  (847, 203) = 14
Disparity of Point  17005 =  (848, 203) = 14
Disparity of Point  17006 =  (848, 203) = 14
Disparity of Point  17009 =  (858, 203) = 15
Disparity of Point  17010 =  (858, 203) = 15
Disparity of Point  17011 =  (859, 203) = 15
Disparity of Point  17012 =  (859, 203) = 15
Disparity of Point  17015 =  (861, 203) = 15
Disparity of Point  17016 =  (861, 203) = 15
Disparity of Point  17017 =  (862, 203) = 15
Disparity of Point  17018 =  (862, 203) = 15
Disparity of Point  17021 =  (871, 203) = 16
Disparity of Point  17022 =  (871, 203) = 16
Disparity of Point  17027 =  (884, 203) = 17
Disparity of Point  17028 =  (884, 203) = 17
Disparity of Point  17034 =  (942, 203) = 20
Disparity of Point  17035 =  (942, 203) = 20
Disparity of Point  17036 =  (943, 203) = 20
Disparity of Point  17037 =  (943, 203) = 20
Disparity of Point  17038 =  (944, 203) = 20
Disparity of Point  17039 =  (944, 203) = 20
Disparity of Point  17040 =  (945, 203) = 20
Disparity of Point  17041 =  (945, 203) = 20
Disparity of Point  17043 =  (947, 203) = 20
Disparity of Point  17044 =  (947, 203) = 20
Disparity of Point  17052 =  (978, 203) = 22
Disparity of Point  17053 =  (978, 203) = 22
Disparity of Point  17074 =  (1036, 203) = 26
Disparity of Point  17075 =  (1037, 203) = 26
Disparity of Point  17076 =  (1043, 203) = 26
Disparity of Point  17077 =  (1043, 203) = 26
Disparity of Point  17078 =  (1043, 203) = 26
Disparity of Point  17081 =  (1053, 203) = 27
Disparity of Point  17082 =  (1053, 203) = 27
Disparity of Point  17083 =  (433, 204) = 14
Disparity of Point  17092 =  (466, 204) = 10
Disparity of Point  17093 =  (466, 204) = 10
Disparity of Point  17094 =  (483, 204) = 10
Disparity of Point  17095 =  (483, 204) = 10
Disparity of Point  17096 =  (484, 204) = 10
Disparity of Point  17097 =  (484, 204) = 10
Disparity of Point  17098 =  (485, 204) = 10
Disparity of Point  17099 =  (485, 204) = 10
Disparity of Point  17100 =  (486, 204) = 10
Disparity of Point  17101 =  (486, 204) = 10
Disparity of Point  17102 =  (487, 204) = 10
Disparity of Point  17103 =  (487, 204) = 10
Disparity of Point  17104 =  (488, 204) = 10
Disparity of Point  17105 =  (488, 204) = 10
Disparity of Point  17106 =  (489, 204) = 10
Disparity of Point  17107 =  (489, 204) = 10
Disparity of Point  17116 =  (505, 204) = 10
Disparity of Point  17122 =  (530, 204) = 10
Disparity of Point  17123 =  (531, 204) = 10
Disparity of Point  17124 =  (532, 204) = 10
Disparity of Point  17125 =  (532, 204) = 10
Disparity of Point  17134 =  (624, 204) = 10
Disparity of Point  17140 =  (656, 204) = 12
Disparity of Point  17141 =  (656, 204) = 12
Disparity of Point  17142 =  (678, 204) = 12
Disparity of Point  17143 =  (678, 204) = 12
Disparity of Point  17144 =  (726, 204) = 24
Disparity of Point  17145 =  (726, 204) = 24
Disparity of Point  17157 =  (834, 204) = 14
Disparity of Point  17158 =  (834, 204) = 14
Disparity of Point  17163 =  (856, 204) = 15
Disparity of Point  17164 =  (857, 204) = 15
Disparity of Point  17165 =  (857, 204) = 15
Disparity of Point  17170 =  (877, 204) = 16
Disparity of Point  17171 =  (877, 204) = 16
Disparity of Point  17184 =  (951, 204) = 21
Disparity of Point  17185 =  (951, 204) = 21
Disparity of Point  17188 =  (978, 204) = 22
Disparity of Point  17194 =  (990, 204) = 23
Disparity of Point  17195 =  (990, 204) = 23
Disparity of Point  17196 =  (996, 204) = 23
Disparity of Point  17197 =  (1023, 204) = 25
Disparity of Point  17198 =  (1026, 204) = 25
Disparity of Point  17199 =  (1027, 204) = 25
Disparity of Point  17200 =  (1027, 204) = 25
Disparity of Point  17201 =  (1040, 204) = 26
Disparity of Point  17202 =  (1040, 204) = 26
Disparity of Point  17211 =  (420, 205) = 14
Disparity of Point  17212 =  (420, 205) = 14
Disparity of Point  17213 =  (421, 205) = 14
Disparity of Point  17214 =  (421, 205) = 14
Disparity of Point  17220 =  (438, 205) = 14
Disparity of Point  17221 =  (438, 205) = 14
Disparity of Point  17222 =  (439, 205) = 14
Disparity of Point  17236 =  (530, 205) = 10
Disparity of Point  17237 =  (560, 205) = 10
Disparity of Point  17238 =  (561, 205) = 10
Disparity of Point  17245 =  (655, 205) = 12
Disparity of Point  17246 =  (655, 205) = 12
Disparity of Point  17247 =  (655, 205) = 12
Disparity of Point  17280 =  (811, 205) = 14
Disparity of Point  17281 =  (811, 205) = 14
Disparity of Point  17282 =  (812, 205) = 14
Disparity of Point  17283 =  (812, 205) = 14
Disparity of Point  17284 =  (813, 205) = 14
Disparity of Point  17285 =  (813, 205) = 14
Disparity of Point  17290 =  (855, 205) = 15
Disparity of Point  17291 =  (855, 205) = 15
Disparity of Point  17292 =  (875, 205) = 16
Disparity of Point  17293 =  (875, 205) = 16
Disparity of Point  17294 =  (876, 205) = 16
Disparity of Point  17295 =  (878, 205) = 16
Disparity of Point  17296 =  (878, 205) = 16
Disparity of Point  17312 =  (974, 205) = 22
Disparity of Point  17313 =  (974, 205) = 22
Disparity of Point  17314 =  (1006, 205) = 24
Disparity of Point  17315 =  (1006, 205) = 24
Disparity of Point  17328 =  (516, 206) = 10
Disparity of Point  17329 =  (516, 206) = 10
Disparity of Point  17339 =  (626, 206) = 11
Disparity of Point  17343 =  (632, 206) = 11
Disparity of Point  17344 =  (632, 206) = 11
Disparity of Point  17345 =  (632, 206) = 11
Disparity of Point  17346 =  (644, 206) = 11
Disparity of Point  17351 =  (649, 206) = 12
Disparity of Point  17352 =  (649, 206) = 12
Disparity of Point  17374 =  (795, 206) = 27
Disparity of Point  17375 =  (795, 206) = 27
Disparity of Point  17386 =  (857, 206) = 15
Disparity of Point  17387 =  (857, 206) = 15
Disparity of Point  17388 =  (862, 206) = 15
Disparity of Point  17389 =  (862, 206) = 15
Disparity of Point  17394 =  (878, 206) = 16
Disparity of Point  17395 =  (880, 206) = 16
Disparity of Point  17396 =  (881, 206) = 16
Disparity of Point  17397 =  (881, 206) = 16
Disparity of Point  17400 =  (896, 206) = 17
Disparity of Point  17401 =  (896, 206) = 17
Disparity of Point  17412 =  (919, 206) = 19
Disparity of Point  17413 =  (919, 206) = 19
Disparity of Point  17415 =  (937, 206) = 20
Disparity of Point  17416 =  (939, 206) = 20
Disparity of Point  17417 =  (946, 206) = 20
Disparity of Point  17418 =  (946, 206) = 20
Disparity of Point  17424 =  (997, 206) = 24
Disparity of Point  17425 =  (997, 206) = 24
Disparity of Point  17426 =  (998, 206) = 24
Disparity of Point  17427 =  (998, 206) = 24
Disparity of Point  17428 =  (999, 206) = 24
Disparity of Point  17429 =  (999, 206) = 24
Disparity of Point  17430 =  (1022, 206) = 25
Disparity of Point  17431 =  (1022, 206) = 25
Disparity of Point  17436 =  (1026, 206) = 25
Disparity of Point  17437 =  (1026, 206) = 25
Disparity of Point  17438 =  (1026, 206) = 25
Disparity of Point  17439 =  (1039, 206) = 26
Disparity of Point  17452 =  (1048, 206) = 27
Disparity of Point  17453 =  (1048, 206) = 27
Disparity of Point  17465 =  (1057, 206) = 27
Disparity of Point  17466 =  (1057, 206) = 27
Disparity of Point  17467 =  (1058, 206) = 27
Disparity of Point  17468 =  (1059, 206) = 27
Disparity of Point  17469 =  (1059, 206) = 27
Disparity of Point  17470 =  (1060, 206) = 27
Disparity of Point  17471 =  (1060, 206) = 27
Disparity of Point  17478 =  (1064, 206) = 28
Disparity of Point  17479 =  (1064, 206) = 28
Disparity of Point  17486 =  (372, 207) = 11
Disparity of Point  17487 =  (372, 207) = 11
Disparity of Point  17488 =  (373, 207) = 11
Disparity of Point  17489 =  (373, 207) = 11
Disparity of Point  17490 =  (380, 207) = 11
Disparity of Point  17491 =  (380, 207) = 11
Disparity of Point  17492 =  (381, 207) = 11
Disparity of Point  17493 =  (381, 207) = 11
Disparity of Point  17494 =  (382, 207) = 11
Disparity of Point  17495 =  (382, 207) = 11
Disparity of Point  17496 =  (383, 207) = 11
Disparity of Point  17497 =  (383, 207) = 11
Disparity of Point  17515 =  (424, 207) = 14
Disparity of Point  17516 =  (424, 207) = 14
Disparity of Point  17517 =  (426, 207) = 14
Disparity of Point  17518 =  (426, 207) = 14
Disparity of Point  17525 =  (456, 207) = 14
Disparity of Point  17526 =  (456, 207) = 14
Disparity of Point  17527 =  (456, 207) = 14
Disparity of Point  17536 =  (500, 207) = 11
Disparity of Point  17537 =  (500, 207) = 11
Disparity of Point  17538 =  (507, 207) = 11
Disparity of Point  17539 =  (507, 207) = 11
Disparity of Point  17548 =  (528, 207) = 11
Disparity of Point  17549 =  (528, 207) = 11
Disparity of Point  17550 =  (529, 207) = 11
Disparity of Point  17551 =  (530, 207) = 11
Disparity of Point  17552 =  (530, 207) = 11
Disparity of Point  17559 =  (621, 207) = 11
Disparity of Point  17564 =  (631, 207) = 11
Disparity of Point  17565 =  (631, 207) = 11
Disparity of Point  17576 =  (727, 207) = 25
Disparity of Point  17577 =  (727, 207) = 25
Disparity of Point  17594 =  (812, 207) = 14
Disparity of Point  17595 =  (812, 207) = 14
Disparity of Point  17598 =  (816, 207) = 15
Disparity of Point  17599 =  (816, 207) = 15
Disparity of Point  17600 =  (818, 207) = 15
Disparity of Point  17601 =  (818, 207) = 15
Disparity of Point  17604 =  (872, 207) = 16
Disparity of Point  17605 =  (872, 207) = 16
Disparity of Point  17606 =  (873, 207) = 16
Disparity of Point  17607 =  (873, 207) = 16
Disparity of Point  17608 =  (874, 207) = 16
Disparity of Point  17611 =  (896, 207) = 17
Disparity of Point  17623 =  (936, 207) = 20
Disparity of Point  17629 =  (986, 207) = 23
Disparity of Point  17630 =  (986, 207) = 23
Disparity of Point  17633 =  (988, 207) = 23
Disparity of Point  17634 =  (988, 207) = 23
Disparity of Point  17636 =  (1025, 207) = 25
Disparity of Point  17637 =  (1025, 207) = 25
Disparity of Point  17638 =  (1025, 207) = 25
Disparity of Point  17643 =  (1035, 207) = 26
Disparity of Point  17644 =  (1035, 207) = 26
Disparity of Point  17645 =  (1036, 207) = 26
Disparity of Point  17646 =  (1036, 207) = 26
Disparity of Point  17649 =  (1038, 207) = 26
Disparity of Point  17650 =  (1038, 207) = 26
Disparity of Point  17655 =  (1066, 207) = 28
Disparity of Point  17656 =  (1066, 207) = 28
Disparity of Point  17657 =  (366, 208) = 14
Disparity of Point  17660 =  (388, 208) = 11
Disparity of Point  17661 =  (388, 208) = 11
Disparity of Point  17670 =  (436, 208) = 14
Disparity of Point  17671 =  (436, 208) = 14
Disparity of Point  17681 =  (502, 208) = 11
Disparity of Point  17682 =  (502, 208) = 11
Disparity of Point  17683 =  (503, 208) = 11
Disparity of Point  17684 =  (503, 208) = 11
Disparity of Point  17685 =  (504, 208) = 11
Disparity of Point  17686 =  (504, 208) = 11
Disparity of Point  17687 =  (505, 208) = 11
Disparity of Point  17688 =  (505, 208) = 11
Disparity of Point  17691 =  (621, 208) = 11
Disparity of Point  17692 =  (621, 208) = 11
Disparity of Point  17702 =  (646, 208) = 12
Disparity of Point  17703 =  (659, 208) = 12
Disparity of Point  17704 =  (659, 208) = 12
Disparity of Point  17705 =  (661, 208) = 12
Disparity of Point  17706 =  (661, 208) = 12
Disparity of Point  17707 =  (663, 208) = 12
Disparity of Point  17708 =  (663, 208) = 12
Disparity of Point  17709 =  (665, 208) = 12
Disparity of Point  17710 =  (665, 208) = 12
Disparity of Point  17711 =  (666, 208) = 12
Disparity of Point  17712 =  (666, 208) = 12
Disparity of Point  17713 =  (667, 208) = 12
Disparity of Point  17714 =  (667, 208) = 12
Disparity of Point  17717 =  (679, 208) = 12
Disparity of Point  17718 =  (679, 208) = 12
Disparity of Point  17721 =  (725, 208) = 25
Disparity of Point  17740 =  (850, 208) = 15
Disparity of Point  17741 =  (850, 208) = 15
Disparity of Point  17742 =  (851, 208) = 15
Disparity of Point  17743 =  (851, 208) = 15
Disparity of Point  17746 =  (876, 208) = 16
Disparity of Point  17747 =  (877, 208) = 16
Disparity of Point  17748 =  (877, 208) = 16
Disparity of Point  17749 =  (878, 208) = 16
Disparity of Point  17750 =  (878, 208) = 16
Disparity of Point  17751 =  (879, 208) = 16
Disparity of Point  17752 =  (879, 208) = 16
Disparity of Point  17765 =  (985, 208) = 23
Disparity of Point  17766 =  (985, 208) = 23
Disparity of Point  17767 =  (991, 208) = 23
Disparity of Point  17768 =  (1021, 208) = 25
Disparity of Point  17769 =  (1021, 208) = 25
Disparity of Point  17770 =  (1022, 208) = 25
Disparity of Point  17771 =  (1022, 208) = 25
Disparity of Point  17772 =  (1023, 208) = 25
Disparity of Point  17773 =  (1025, 208) = 25
Disparity of Point  17774 =  (1025, 208) = 25
Disparity of Point  17775 =  (1039, 208) = 26
Disparity of Point  17776 =  (1039, 208) = 26
Disparity of Point  17778 =  (1054, 208) = 27
Disparity of Point  17779 =  (1054, 208) = 27
Disparity of Point  17785 =  (419, 209) = 14
Disparity of Point  17786 =  (456, 209) = 14
Disparity of Point  17787 =  (456, 209) = 14
Disparity of Point  17799 =  (622, 209) = 12
Disparity of Point  17802 =  (630, 209) = 12
Disparity of Point  17803 =  (638, 209) = 12
Disparity of Point  17804 =  (638, 209) = 12
Disparity of Point  17807 =  (642, 209) = 12
Disparity of Point  17810 =  (742, 209) = 25
Disparity of Point  17811 =  (743, 209) = 25
Disparity of Point  17812 =  (743, 209) = 25
Disparity of Point  17819 =  (775, 209) = 25
Disparity of Point  17820 =  (775, 209) = 25
Disparity of Point  17835 =  (979, 209) = 22
Disparity of Point  17836 =  (979, 209) = 22
Disparity of Point  17838 =  (985, 209) = 23
Disparity of Point  17839 =  (985, 209) = 23
Disparity of Point  17840 =  (991, 209) = 23
Disparity of Point  17841 =  (991, 209) = 23
Disparity of Point  17842 =  (995, 209) = 23
Disparity of Point  17843 =  (1017, 209) = 25
Disparity of Point  17844 =  (1017, 209) = 25
Disparity of Point  17848 =  (1025, 209) = 25
Disparity of Point  17855 =  (1035, 209) = 26
Disparity of Point  17856 =  (1035, 209) = 26
Disparity of Point  17857 =  (1039, 209) = 26
Disparity of Point  17858 =  (1039, 209) = 26
Disparity of Point  17861 =  (1053, 209) = 27
Disparity of Point  17862 =  (1054, 209) = 27
Disparity of Point  17863 =  (1056, 209) = 27
Disparity of Point  17866 =  (1066, 209) = 28
Disparity of Point  17871 =  (416, 210) = 14
Disparity of Point  17872 =  (416, 210) = 14
Disparity of Point  17882 =  (492, 210) = 12
Disparity of Point  17883 =  (492, 210) = 12
Disparity of Point  17884 =  (493, 210) = 12
Disparity of Point  17885 =  (493, 210) = 12
Disparity of Point  17886 =  (622, 210) = 12
Disparity of Point  17887 =  (622, 210) = 12
Disparity of Point  17891 =  (635, 210) = 12
Disparity of Point  17893 =  (643, 210) = 12
Disparity of Point  17894 =  (643, 210) = 12
Disparity of Point  17895 =  (644, 210) = 12
Disparity of Point  17896 =  (742, 210) = 25
Disparity of Point  17901 =  (752, 210) = 26
Disparity of Point  17902 =  (753, 210) = 26
Disparity of Point  17903 =  (753, 210) = 26
Disparity of Point  17922 =  (945, 210) = 20
Disparity of Point  17923 =  (945, 210) = 20
Disparity of Point  17928 =  (979, 210) = 22
Disparity of Point  17932 =  (985, 210) = 23
Disparity of Point  17933 =  (990, 210) = 23
Disparity of Point  17934 =  (990, 210) = 23
Disparity of Point  17936 =  (994, 210) = 23
Disparity of Point  17937 =  (994, 210) = 23
Disparity of Point  17939 =  (996, 210) = 23
Disparity of Point  17940 =  (996, 210) = 23
Disparity of Point  17949 =  (1007, 210) = 24
Disparity of Point  17950 =  (1007, 210) = 24
Disparity of Point  17959 =  (1027, 210) = 25
Disparity of Point  17967 =  (1036, 210) = 26
Disparity of Point  17968 =  (1036, 210) = 26
Disparity of Point  17971 =  (1044, 210) = 26
Disparity of Point  17978 =  (1050, 210) = 27
Disparity of Point  17979 =  (1050, 210) = 27
Disparity of Point  17983 =  (1057, 210) = 27
Disparity of Point  17984 =  (1057, 210) = 27
Disparity of Point  17985 =  (1060, 210) = 27
Disparity of Point  17986 =  (1060, 210) = 27
Disparity of Point  17988 =  (1069, 210) = 28
Disparity of Point  17991 =  (369, 211) = 13
Disparity of Point  17992 =  (379, 211) = 13
Disparity of Point  17993 =  (379, 211) = 13
Disparity of Point  17994 =  (380, 211) = 13
Disparity of Point  17995 =  (380, 211) = 13
Disparity of Point  17998 =  (382, 211) = 13
Disparity of Point  17999 =  (382, 211) = 13
Disparity of Point  18012 =  (490, 211) = 12
Disparity of Point  18013 =  (490, 211) = 12
Disparity of Point  18016 =  (631, 211) = 12
Disparity of Point  18017 =  (632, 211) = 12
Disparity of Point  18028 =  (742, 211) = 25
Disparity of Point  18050 =  (938, 211) = 20
Disparity of Point  18051 =  (939, 211) = 20
Disparity of Point  18052 =  (939, 211) = 20
Disparity of Point  18053 =  (944, 211) = 20
Disparity of Point  18054 =  (944, 211) = 20
Disparity of Point  18059 =  (950, 211) = 21
Disparity of Point  18060 =  (950, 211) = 21
Disparity of Point  18063 =  (993, 211) = 23
Disparity of Point  18064 =  (993, 211) = 23
Disparity of Point  18070 =  (1040, 211) = 26
Disparity of Point  18071 =  (1040, 211) = 26
Disparity of Point  18072 =  (1041, 211) = 26
Disparity of Point  18073 =  (1041, 211) = 26
Disparity of Point  18076 =  (1043, 211) = 26
Disparity of Point  18077 =  (1043, 211) = 26
Disparity of Point  18078 =  (1057, 211) = 27
Disparity of Point  18079 =  (1057, 211) = 27
Disparity of Point  18086 =  (367, 212) = 14
Disparity of Point  18087 =  (370, 212) = 13
Disparity of Point  18088 =  (370, 212) = 13
Disparity of Point  18093 =  (383, 212) = 13
Disparity of Point  18094 =  (383, 212) = 13
Disparity of Point  18097 =  (399, 212) = 13
Disparity of Point  18098 =  (400, 212) = 13
Disparity of Point  18099 =  (400, 212) = 13
Disparity of Point  18110 =  (416, 212) = 14
Disparity of Point  18111 =  (416, 212) = 14
Disparity of Point  18112 =  (455, 212) = 14
Disparity of Point  18118 =  (486, 212) = 12
Disparity of Point  18119 =  (486, 212) = 12
Disparity of Point  18120 =  (486, 212) = 12
Disparity of Point  18129 =  (633, 212) = 13
Disparity of Point  18132 =  (647, 212) = 13
Disparity of Point  18133 =  (648, 212) = 13
Disparity of Point  18134 =  (648, 212) = 13
Disparity of Point  18135 =  (723, 212) = 26
Disparity of Point  18136 =  (725, 212) = 26
Disparity of Point  18137 =  (728, 212) = 26
Disparity of Point  18138 =  (728, 212) = 26
Disparity of Point  18139 =  (729, 212) = 26
Disparity of Point  18140 =  (729, 212) = 26
Disparity of Point  18146 =  (749, 212) = 26
Disparity of Point  18147 =  (749, 212) = 26
Disparity of Point  18148 =  (752, 212) = 26
Disparity of Point  18170 =  (934, 212) = 20
Disparity of Point  18171 =  (934, 212) = 20
Disparity of Point  18172 =  (935, 212) = 20
Disparity of Point  18173 =  (935, 212) = 20
Disparity of Point  18183 =  (1007, 212) = 24
Disparity of Point  18184 =  (1008, 212) = 24
Disparity of Point  18185 =  (1008, 212) = 24
Disparity of Point  18186 =  (1009, 212) = 24
Disparity of Point  18187 =  (1009, 212) = 24
Disparity of Point  18188 =  (1010, 212) = 24
Disparity of Point  18189 =  (1010, 212) = 24
Disparity of Point  18192 =  (1012, 212) = 24
Disparity of Point  18193 =  (1012, 212) = 24
Disparity of Point  18194 =  (1015, 212) = 25
Disparity of Point  18195 =  (1015, 212) = 25
Disparity of Point  18200 =  (1018, 212) = 25
Disparity of Point  18201 =  (1018, 212) = 25
Disparity of Point  18202 =  (1019, 212) = 25
Disparity of Point  18203 =  (1057, 212) = 27
Disparity of Point  18204 =  (1058, 212) = 27
Disparity of Point  18210 =  (367, 213) = 14
Disparity of Point  18211 =  (367, 213) = 14
Disparity of Point  18231 =  (631, 213) = 13
Disparity of Point  18232 =  (631, 213) = 13
Disparity of Point  18233 =  (633, 213) = 13
Disparity of Point  18234 =  (633, 213) = 13
Disparity of Point  18236 =  (638, 213) = 13
Disparity of Point  18237 =  (643, 213) = 13
Disparity of Point  18238 =  (719, 213) = 26
Disparity of Point  18239 =  (719, 213) = 26
Disparity of Point  18242 =  (737, 213) = 26
Disparity of Point  18243 =  (738, 213) = 26
Disparity of Point  18244 =  (738, 213) = 26
Disparity of Point  18250 =  (744, 213) = 25
Disparity of Point  18251 =  (744, 213) = 25
Disparity of Point  18252 =  (750, 213) = 26
Disparity of Point  18266 =  (941, 213) = 20
Disparity of Point  18267 =  (941, 213) = 20
Disparity of Point  18277 =  (990, 213) = 23
Disparity of Point  18278 =  (990, 213) = 23
Disparity of Point  18279 =  (1004, 213) = 24
Disparity of Point  18280 =  (1004, 213) = 24
Disparity of Point  18281 =  (1005, 213) = 24
Disparity of Point  18282 =  (1005, 213) = 24
Disparity of Point  18283 =  (1048, 213) = 27
Disparity of Point  18284 =  (367, 214) = 14
Disparity of Point  18285 =  (368, 214) = 14
Disparity of Point  18286 =  (389, 214) = 14
Disparity of Point  18287 =  (396, 214) = 14
Disparity of Point  18288 =  (396, 214) = 14
Disparity of Point  18290 =  (415, 214) = 14
Disparity of Point  18291 =  (415, 214) = 14
Disparity of Point  18293 =  (455, 214) = 14
Disparity of Point  18294 =  (456, 214) = 14
Disparity of Point  18295 =  (456, 214) = 14
Disparity of Point  18296 =  (457, 214) = 14
Disparity of Point  18297 =  (457, 214) = 14
Disparity of Point  18316 =  (630, 214) = 13
Disparity of Point  18317 =  (630, 214) = 13
Disparity of Point  18327 =  (645, 214) = 14
Disparity of Point  18331 =  (725, 214) = 26
Disparity of Point  18332 =  (734, 214) = 26
Disparity of Point  18333 =  (734, 214) = 26
Disparity of Point  18335 =  (740, 214) = 26
Disparity of Point  18336 =  (740, 214) = 26
Disparity of Point  18337 =  (740, 214) = 26
Disparity of Point  18339 =  (750, 214) = 26
Disparity of Point  18340 =  (750, 214) = 26
Disparity of Point  18343 =  (796, 214) = 27
Disparity of Point  18344 =  (796, 214) = 27
Disparity of Point  18362 =  (975, 214) = 22
Disparity of Point  18365 =  (982, 214) = 23
Disparity of Point  18366 =  (982, 214) = 23
Disparity of Point  18367 =  (983, 214) = 23
Disparity of Point  18368 =  (983, 214) = 23
Disparity of Point  18369 =  (988, 214) = 23
Disparity of Point  18370 =  (988, 214) = 23
Disparity of Point  18371 =  (988, 214) = 23
Disparity of Point  18372 =  (989, 214) = 23
Disparity of Point  18373 =  (989, 214) = 23
Disparity of Point  18374 =  (990, 214) = 23
Disparity of Point  18375 =  (1011, 214) = 24
Disparity of Point  18376 =  (1028, 214) = 25
Disparity of Point  18377 =  (1028, 214) = 25
Disparity of Point  18380 =  (1048, 214) = 27
Disparity of Point  18381 =  (1048, 214) = 27
Disparity of Point  18382 =  (368, 215) = 14
Disparity of Point  18383 =  (369, 215) = 14
Disparity of Point  18384 =  (369, 215) = 14
Disparity of Point  18385 =  (370, 215) = 14
Disparity of Point  18386 =  (370, 215) = 14
Disparity of Point  18387 =  (389, 215) = 14
Disparity of Point  18392 =  (412, 215) = 14
Disparity of Point  18393 =  (412, 215) = 14
Disparity of Point  18396 =  (462, 215) = 14
Disparity of Point  18397 =  (462, 215) = 14
Disparity of Point  18413 =  (639, 215) = 14
Disparity of Point  18414 =  (640, 215) = 14
Disparity of Point  18415 =  (640, 215) = 14
Disparity of Point  18417 =  (645, 215) = 14
Disparity of Point  18424 =  (719, 215) = 26
Disparity of Point  18425 =  (735, 215) = 26
Disparity of Point  18426 =  (735, 215) = 26
Disparity of Point  18427 =  (735, 215) = 26
Disparity of Point  18430 =  (753, 215) = 26
Disparity of Point  18431 =  (753, 215) = 26
Disparity of Point  18432 =  (754, 215) = 26
Disparity of Point  18433 =  (754, 215) = 26
Disparity of Point  18434 =  (755, 215) = 26
Disparity of Point  18435 =  (755, 215) = 26
Disparity of Point  18437 =  (796, 215) = 27
Disparity of Point  18440 =  (890, 215) = 19
Disparity of Point  18441 =  (890, 215) = 19
Disparity of Point  18454 =  (970, 215) = 22
Disparity of Point  18455 =  (970, 215) = 22
Disparity of Point  18456 =  (971, 215) = 22
Disparity of Point  18457 =  (984, 215) = 23
Disparity of Point  18458 =  (984, 215) = 23
Disparity of Point  18461 =  (993, 215) = 23
Disparity of Point  18462 =  (995, 215) = 23
Disparity of Point  18463 =  (995, 215) = 23
Disparity of Point  18466 =  (1003, 215) = 24
Disparity of Point  18467 =  (1003, 215) = 24
Disparity of Point  18468 =  (1008, 215) = 24
Disparity of Point  18469 =  (1008, 215) = 24
Disparity of Point  18470 =  (1009, 215) = 24
Disparity of Point  18471 =  (1009, 215) = 24
Disparity of Point  18472 =  (1010, 215) = 24
Disparity of Point  18473 =  (1010, 215) = 24
Disparity of Point  18474 =  (1011, 215) = 24
Disparity of Point  18479 =  (1022, 215) = 25
Disparity of Point  18480 =  (1022, 215) = 25
Disparity of Point  18483 =  (1024, 215) = 25
Disparity of Point  18484 =  (1024, 215) = 25
Disparity of Point  18487 =  (1035, 215) = 26
Disparity of Point  18488 =  (1035, 215) = 26
Disparity of Point  18489 =  (1036, 215) = 26
Disparity of Point  18490 =  (1036, 215) = 26
Disparity of Point  18491 =  (1037, 215) = 26
Disparity of Point  18492 =  (1037, 215) = 26
Disparity of Point  18501 =  (1050, 215) = 27
Disparity of Point  18502 =  (1050, 215) = 27
Disparity of Point  18509 =  (1055, 215) = 27
Disparity of Point  18510 =  (1055, 215) = 27
Disparity of Point  18511 =  (1056, 215) = 27
Disparity of Point  18512 =  (1056, 215) = 27
Disparity of Point  18513 =  (1057, 215) = 27
Disparity of Point  18514 =  (1057, 215) = 27
Disparity of Point  18517 =  (1059, 215) = 27
Disparity of Point  18518 =  (1059, 215) = 27
Disparity of Point  18529 =  (373, 216) = 14
Disparity of Point  18530 =  (373, 216) = 14
Disparity of Point  18547 =  (476, 216) = 14
Disparity of Point  18548 =  (476, 216) = 14
Disparity of Point  18559 =  (812, 216) = 17
Disparity of Point  18560 =  (812, 216) = 17
Disparity of Point  18561 =  (813, 216) = 17
Disparity of Point  18562 =  (813, 216) = 17
Disparity of Point  18565 =  (815, 216) = 17
Disparity of Point  18566 =  (815, 216) = 17
Disparity of Point  18579 =  (837, 216) = 18
Disparity of Point  18580 =  (837, 216) = 18
Disparity of Point  18583 =  (839, 216) = 18
Disparity of Point  18584 =  (839, 216) = 18
Disparity of Point  18591 =  (887, 216) = 19
Disparity of Point  18592 =  (887, 216) = 19
Disparity of Point  18595 =  (889, 216) = 19
Disparity of Point  18596 =  (889, 216) = 19
