Disparity of Point  10347 =  (1063, 127) = 28
Disparity of Point  18004 =  (1024, 200) = 25
Disparity of Point  18005 =  (1027, 200) = 25
Disparity of Point  18006 =  (1037, 200) = 26
Disparity of Point  18007 =  (1038, 200) = 26
Disparity of Point  18008 =  (1038, 200) = 26
Disparity of Point  18012 =  (1060, 200) = 27
Disparity of Point  18013 =  (1060, 200) = 27
Disparity of Point  18029 =  (503, 201) = 10
Disparity of Point  18030 =  (503, 201) = 10
Disparity of Point  18047 =  (552, 201) = 9
Disparity of Point  18048 =  (552, 201) = 9
Disparity of Point  18049 =  (553, 201) = 9
Disparity of Point  18052 =  (562, 201) = 9
Disparity of Point  18056 =  (628, 201) = 9
Disparity of Point  18061 =  (677, 201) = 12
Disparity of Point  18064 =  (679, 201) = 12
Disparity of Point  18065 =  (679, 201) = 12
Disparity of Point  18070 =  (686, 201) = 10
Disparity of Point  18071 =  (686, 201) = 10
Disparity of Point  18072 =  (687, 201) = 10
Disparity of Point  18073 =  (687, 201) = 10
Disparity of Point  18074 =  (688, 201) = 10
Disparity of Point  18075 =  (688, 201) = 10
Disparity of Point  18088 =  (727, 201) = 24
Disparity of Point  18089 =  (727, 201) = 24
Disparity of Point  18090 =  (736, 201) = 24
Disparity of Point  18091 =  (736, 201) = 24
Disparity of Point  18097 =  (802, 201) = 27
Disparity of Point  18113 =  (860, 201) = 15
Disparity of Point  18114 =  (860, 201) = 15
Disparity of Point  18119 =  (878, 201) = 16
Disparity of Point  18120 =  (878, 201) = 16
Disparity of Point  18139 =  (1027, 201) = 25
Disparity of Point  18140 =  (1027, 201) = 25
Disparity of Point  18158 =  (466, 202) = 10
Disparity of Point  18159 =  (466, 202) = 10
Disparity of Point  18160 =  (467, 202) = 10
Disparity of Point  18161 =  (467, 202) = 10
Disparity of Point  18162 =  (467, 202) = 10
Disparity of Point  18164 =  (502, 202) = 10
Disparity of Point  18165 =  (505, 202) = 10
Disparity of Point  18172 =  (562, 202) = 9
Disparity of Point  18173 =  (562, 202) = 9
Disparity of Point  18174 =  (622, 202) = 9
Disparity of Point  18176 =  (649, 202) = 12
Disparity of Point  18177 =  (649, 202) = 12
Disparity of Point  18181 =  (681, 202) = 11
Disparity of Point  18182 =  (681, 202) = 11
Disparity of Point  18185 =  (727, 202) = 24
Disparity of Point  18186 =  (727, 202) = 24
Disparity of Point  18187 =  (737, 202) = 24
Disparity of Point  18188 =  (737, 202) = 24
Disparity of Point  18209 =  (808, 202) = 14
Disparity of Point  18210 =  (808, 202) = 14
Disparity of Point  18211 =  (856, 202) = 15
Disparity of Point  18212 =  (856, 202) = 15
Disparity of Point  18213 =  (858, 202) = 15
Disparity of Point  18214 =  (858, 202) = 15
Disparity of Point  18219 =  (878, 202) = 16
Disparity of Point  18220 =  (878, 202) = 16
Disparity of Point  18227 =  (978, 202) = 22
Disparity of Point  18229 =  (990, 202) = 23
Disparity of Point  18230 =  (990, 202) = 23
Disparity of Point  18231 =  (993, 202) = 23
Disparity of Point  18232 =  (993, 202) = 23
Disparity of Point  18254 =  (438, 203) = 14
Disparity of Point  18259 =  (461, 203) = 10
Disparity of Point  18260 =  (461, 203) = 10
Disparity of Point  18263 =  (468, 203) = 10
Disparity of Point  18264 =  (468, 203) = 10
Disparity of Point  18265 =  (469, 203) = 10
Disparity of Point  18266 =  (469, 203) = 10
Disparity of Point  18277 =  (521, 203) = 9
Disparity of Point  18281 =  (562, 203) = 9
Disparity of Point  18282 =  (562, 203) = 9
Disparity of Point  18284 =  (630, 203) = 10
Disparity of Point  18285 =  (630, 203) = 10
Disparity of Point  18289 =  (652, 203) = 12
Disparity of Point  18290 =  (652, 203) = 12
Disparity of Point  18298 =  (737, 203) = 24
Disparity of Point  18299 =  (737, 203) = 24
Disparity of Point  18326 =  (858, 203) = 15
Disparity of Point  18327 =  (858, 203) = 15
Disparity of Point  18328 =  (859, 203) = 15
Disparity of Point  18329 =  (859, 203) = 15
Disparity of Point  18332 =  (861, 203) = 15
Disparity of Point  18333 =  (861, 203) = 15
Disparity of Point  18334 =  (862, 203) = 15
Disparity of Point  18335 =  (862, 203) = 15
Disparity of Point  18339 =  (871, 203) = 16
Disparity of Point  18340 =  (871, 203) = 16
Disparity of Point  18346 =  (884, 203) = 17
Disparity of Point  18347 =  (884, 203) = 17
Disparity of Point  18354 =  (942, 203) = 20
Disparity of Point  18355 =  (942, 203) = 20
Disparity of Point  18356 =  (943, 203) = 20
Disparity of Point  18357 =  (943, 203) = 20
Disparity of Point  18358 =  (944, 203) = 20
Disparity of Point  18359 =  (944, 203) = 20
Disparity of Point  18362 =  (978, 203) = 22
Disparity of Point  18363 =  (978, 203) = 22
Disparity of Point  18387 =  (1036, 203) = 26
Disparity of Point  18389 =  (1053, 203) = 27
Disparity of Point  18390 =  (1053, 203) = 27
Disparity of Point  18397 =  (431, 204) = 14
Disparity of Point  18398 =  (431, 204) = 14
Disparity of Point  18401 =  (433, 204) = 14
Disparity of Point  18412 =  (483, 204) = 10
Disparity of Point  18413 =  (483, 204) = 10
Disparity of Point  18414 =  (484, 204) = 10
Disparity of Point  18415 =  (484, 204) = 10
Disparity of Point  18416 =  (485, 204) = 10
Disparity of Point  18417 =  (485, 204) = 10
Disparity of Point  18418 =  (486, 204) = 10
Disparity of Point  18419 =  (486, 204) = 10
Disparity of Point  18420 =  (487, 204) = 10
Disparity of Point  18421 =  (487, 204) = 10
Disparity of Point  18422 =  (488, 204) = 10
Disparity of Point  18423 =  (488, 204) = 10
Disparity of Point  18424 =  (489, 204) = 10
Disparity of Point  18425 =  (489, 204) = 10
Disparity of Point  18426 =  (490, 204) = 10
Disparity of Point  18427 =  (490, 204) = 10
Disparity of Point  18428 =  (491, 204) = 10
Disparity of Point  18429 =  (491, 204) = 10
Disparity of Point  18439 =  (530, 204) = 10
Disparity of Point  18440 =  (531, 204) = 10
Disparity of Point  18441 =  (532, 204) = 10
Disparity of Point  18442 =  (532, 204) = 10
Disparity of Point  18443 =  (533, 204) = 10
Disparity of Point  18444 =  (533, 204) = 10
Disparity of Point  18455 =  (656, 204) = 12
Disparity of Point  18456 =  (656, 204) = 12
Disparity of Point  18457 =  (726, 204) = 24
Disparity of Point  18458 =  (726, 204) = 24
Disparity of Point  18476 =  (856, 204) = 15
Disparity of Point  18477 =  (857, 204) = 15
Disparity of Point  18478 =  (857, 204) = 15
Disparity of Point  18483 =  (877, 204) = 16
Disparity of Point  18484 =  (877, 204) = 16
Disparity of Point  18498 =  (951, 204) = 21
Disparity of Point  18499 =  (951, 204) = 21
Disparity of Point  18502 =  (984, 204) = 23
Disparity of Point  18503 =  (984, 204) = 23
Disparity of Point  18504 =  (990, 204) = 23
Disparity of Point  18505 =  (990, 204) = 23
Disparity of Point  18506 =  (996, 204) = 23
Disparity of Point  18508 =  (1023, 204) = 25
Disparity of Point  18509 =  (1040, 204) = 26
Disparity of Point  18510 =  (1040, 204) = 26
Disparity of Point  18517 =  (420, 205) = 14
Disparity of Point  18518 =  (420, 205) = 14
Disparity of Point  18519 =  (421, 205) = 14
Disparity of Point  18520 =  (421, 205) = 14
Disparity of Point  18526 =  (438, 205) = 14
Disparity of Point  18527 =  (438, 205) = 14
Disparity of Point  18528 =  (439, 205) = 14
Disparity of Point  18540 =  (530, 205) = 10
Disparity of Point  18541 =  (560, 205) = 10
Disparity of Point  18542 =  (561, 205) = 10
Disparity of Point  18543 =  (632, 205) = 11
Disparity of Point  18544 =  (632, 205) = 11
Disparity of Point  18545 =  (652, 205) = 12
Disparity of Point  18546 =  (652, 205) = 12
Disparity of Point  18576 =  (809, 205) = 14
Disparity of Point  18577 =  (811, 205) = 14
Disparity of Point  18578 =  (811, 205) = 14
Disparity of Point  18579 =  (812, 205) = 14
Disparity of Point  18580 =  (812, 205) = 14
Disparity of Point  18586 =  (855, 205) = 15
Disparity of Point  18587 =  (855, 205) = 15
Disparity of Point  18590 =  (875, 205) = 16
Disparity of Point  18591 =  (875, 205) = 16
Disparity of Point  18607 =  (926, 205) = 22
Disparity of Point  18608 =  (926, 205) = 22
Disparity of Point  18617 =  (1001, 205) = 24
Disparity of Point  18618 =  (1001, 205) = 24
Disparity of Point  18621 =  (1004, 205) = 24
Disparity of Point  18622 =  (1004, 205) = 24
Disparity of Point  18635 =  (516, 206) = 10
Disparity of Point  18636 =  (516, 206) = 10
Disparity of Point  18645 =  (626, 206) = 11
Disparity of Point  18649 =  (644, 206) = 11
Disparity of Point  18655 =  (654, 206) = 12
Disparity of Point  18656 =  (654, 206) = 12
Disparity of Point  18678 =  (795, 206) = 27
Disparity of Point  18679 =  (795, 206) = 27
Disparity of Point  18692 =  (857, 206) = 15
Disparity of Point  18693 =  (857, 206) = 15
Disparity of Point  18698 =  (878, 206) = 16
Disparity of Point  18699 =  (880, 206) = 16
Disparity of Point  18700 =  (881, 206) = 16
Disparity of Point  18701 =  (881, 206) = 16
Disparity of Point  18704 =  (896, 206) = 17
Disparity of Point  18705 =  (896, 206) = 17
Disparity of Point  18715 =  (939, 206) = 20
Disparity of Point  18720 =  (946, 206) = 20
Disparity of Point  18721 =  (946, 206) = 20
Disparity of Point  18726 =  (997, 206) = 24
Disparity of Point  18727 =  (997, 206) = 24
Disparity of Point  18728 =  (998, 206) = 24
Disparity of Point  18729 =  (998, 206) = 24
Disparity of Point  18730 =  (999, 206) = 24
Disparity of Point  18731 =  (999, 206) = 24
Disparity of Point  18732 =  (1022, 206) = 25
Disparity of Point  18733 =  (1022, 206) = 25
Disparity of Point  18738 =  (1026, 206) = 25
Disparity of Point  18739 =  (1026, 206) = 25
Disparity of Point  18740 =  (1026, 206) = 25
Disparity of Point  18741 =  (1039, 206) = 26
Disparity of Point  18750 =  (1048, 206) = 27
Disparity of Point  18751 =  (1048, 206) = 27
Disparity of Point  18763 =  (1058, 206) = 27
Disparity of Point  18764 =  (1059, 206) = 27
Disparity of Point  18765 =  (1059, 206) = 27
Disparity of Point  18766 =  (1060, 206) = 27
Disparity of Point  18767 =  (1060, 206) = 27
Disparity of Point  18774 =  (1064, 206) = 28
Disparity of Point  18775 =  (1064, 206) = 28
Disparity of Point  18782 =  (372, 207) = 11
Disparity of Point  18783 =  (372, 207) = 11
Disparity of Point  18784 =  (373, 207) = 11
Disparity of Point  18785 =  (373, 207) = 11
Disparity of Point  18794 =  (380, 207) = 11
Disparity of Point  18795 =  (380, 207) = 11
Disparity of Point  18796 =  (381, 207) = 11
Disparity of Point  18797 =  (381, 207) = 11
Disparity of Point  18798 =  (382, 207) = 11
Disparity of Point  18799 =  (382, 207) = 11
Disparity of Point  18800 =  (383, 207) = 11
Disparity of Point  18801 =  (383, 207) = 11
Disparity of Point  18808 =  (395, 207) = 11
Disparity of Point  18809 =  (395, 207) = 11
Disparity of Point  18813 =  (426, 207) = 14
Disparity of Point  18814 =  (426, 207) = 14
Disparity of Point  18823 =  (456, 207) = 14
Disparity of Point  18824 =  (456, 207) = 14
Disparity of Point  18825 =  (456, 207) = 14
Disparity of Point  18836 =  (500, 207) = 11
Disparity of Point  18837 =  (500, 207) = 11
Disparity of Point  18838 =  (507, 207) = 11
Disparity of Point  18839 =  (507, 207) = 11
Disparity of Point  18844 =  (528, 207) = 11
Disparity of Point  18845 =  (528, 207) = 11
Disparity of Point  18846 =  (529, 207) = 11
Disparity of Point  18847 =  (530, 207) = 11
Disparity of Point  18848 =  (530, 207) = 11
Disparity of Point  18863 =  (621, 207) = 11
Disparity of Point  18868 =  (631, 207) = 11
Disparity of Point  18869 =  (631, 207) = 11
Disparity of Point  18877 =  (727, 207) = 25
Disparity of Point  18878 =  (727, 207) = 25
Disparity of Point  18897 =  (812, 207) = 14
Disparity of Point  18898 =  (812, 207) = 14
Disparity of Point  18901 =  (814, 207) = 14
Disparity of Point  18902 =  (814, 207) = 14
Disparity of Point  18903 =  (815, 207) = 14
Disparity of Point  18904 =  (815, 207) = 14
Disparity of Point  18909 =  (818, 207) = 15
Disparity of Point  18910 =  (818, 207) = 15
Disparity of Point  18913 =  (872, 207) = 16
Disparity of Point  18914 =  (872, 207) = 16
Disparity of Point  18915 =  (873, 207) = 16
Disparity of Point  18916 =  (873, 207) = 16
Disparity of Point  18917 =  (874, 207) = 16
Disparity of Point  18923 =  (903, 207) = 18
Disparity of Point  18924 =  (903, 207) = 18
Disparity of Point  18938 =  (936, 207) = 20
Disparity of Point  18944 =  (988, 207) = 23
Disparity of Point  18945 =  (988, 207) = 23
Disparity of Point  18949 =  (1025, 207) = 25
Disparity of Point  18950 =  (1025, 207) = 25
Disparity of Point  18951 =  (1025, 207) = 25
Disparity of Point  18954 =  (1035, 207) = 26
Disparity of Point  18955 =  (1035, 207) = 26
Disparity of Point  18956 =  (1036, 207) = 26
Disparity of Point  18957 =  (1036, 207) = 26
Disparity of Point  18960 =  (1038, 207) = 26
Disparity of Point  18961 =  (1038, 207) = 26
Disparity of Point  18966 =  (1066, 207) = 28
Disparity of Point  18967 =  (1066, 207) = 28
Disparity of Point  18969 =  (385, 208) = 11
Disparity of Point  18970 =  (385, 208) = 11
Disparity of Point  18971 =  (386, 208) = 11
Disparity of Point  18972 =  (386, 208) = 11
Disparity of Point  18975 =  (388, 208) = 11
Disparity of Point  18976 =  (388, 208) = 11
Disparity of Point  18977 =  (389, 208) = 11
Disparity of Point  18978 =  (389, 208) = 11
Disparity of Point  18985 =  (436, 208) = 14
Disparity of Point  18986 =  (436, 208) = 14
Disparity of Point  18994 =  (502, 208) = 11
Disparity of Point  18995 =  (502, 208) = 11
Disparity of Point  18996 =  (503, 208) = 11
Disparity of Point  18997 =  (503, 208) = 11
Disparity of Point  18998 =  (504, 208) = 11
Disparity of Point  18999 =  (504, 208) = 11
Disparity of Point  19000 =  (505, 208) = 11
Disparity of Point  19001 =  (505, 208) = 11
Disparity of Point  19004 =  (621, 208) = 11
Disparity of Point  19005 =  (621, 208) = 11
Disparity of Point  19009 =  (646, 208) = 12
Disparity of Point  19012 =  (661, 208) = 12
Disparity of Point  19013 =  (661, 208) = 12
Disparity of Point  19014 =  (662, 208) = 12
Disparity of Point  19015 =  (662, 208) = 12
Disparity of Point  19016 =  (663, 208) = 12
Disparity of Point  19017 =  (663, 208) = 12
Disparity of Point  19018 =  (664, 208) = 12
Disparity of Point  19019 =  (664, 208) = 12
Disparity of Point  19020 =  (665, 208) = 12
Disparity of Point  19021 =  (665, 208) = 12
Disparity of Point  19022 =  (666, 208) = 12
Disparity of Point  19023 =  (666, 208) = 12
Disparity of Point  19024 =  (667, 208) = 12
Disparity of Point  19025 =  (667, 208) = 12
Disparity of Point  19034 =  (678, 208) = 12
Disparity of Point  19035 =  (678, 208) = 12
Disparity of Point  19036 =  (679, 208) = 12
Disparity of Point  19037 =  (679, 208) = 12
Disparity of Point  19064 =  (850, 208) = 15
Disparity of Point  19065 =  (850, 208) = 15
Disparity of Point  19066 =  (851, 208) = 15
Disparity of Point  19067 =  (851, 208) = 15
Disparity of Point  19068 =  (876, 208) = 16
Disparity of Point  19069 =  (878, 208) = 16
Disparity of Point  19070 =  (878, 208) = 16
Disparity of Point  19071 =  (879, 208) = 16
Disparity of Point  19072 =  (879, 208) = 16
Disparity of Point  19081 =  (935, 208) = 20
Disparity of Point  19090 =  (985, 208) = 23
Disparity of Point  19091 =  (985, 208) = 23
Disparity of Point  19092 =  (1021, 208) = 25
Disparity of Point  19093 =  (1021, 208) = 25
Disparity of Point  19094 =  (1022, 208) = 25
Disparity of Point  19095 =  (1022, 208) = 25
Disparity of Point  19096 =  (1023, 208) = 25
Disparity of Point  19097 =  (1025, 208) = 25
Disparity of Point  19098 =  (1025, 208) = 25
Disparity of Point  19099 =  (1039, 208) = 26
Disparity of Point  19100 =  (1039, 208) = 26
Disparity of Point  19102 =  (1054, 208) = 27
Disparity of Point  19103 =  (1054, 208) = 27
Disparity of Point  19117 =  (622, 209) = 12
Disparity of Point  19118 =  (630, 209) = 12
Disparity of Point  19119 =  (638, 209) = 12
Disparity of Point  19120 =  (638, 209) = 12
Disparity of Point  19121 =  (642, 209) = 12
Disparity of Point  19126 =  (657, 209) = 12
Disparity of Point  19127 =  (657, 209) = 12
Disparity of Point  19134 =  (742, 209) = 25
Disparity of Point  19135 =  (743, 209) = 25
Disparity of Point  19136 =  (743, 209) = 25
Disparity of Point  19141 =  (766, 209) = 25
Disparity of Point  19145 =  (775, 209) = 25
Disparity of Point  19146 =  (775, 209) = 25
Disparity of Point  19163 =  (985, 209) = 23
Disparity of Point  19164 =  (985, 209) = 23
Disparity of Point  19165 =  (991, 209) = 23
Disparity of Point  19166 =  (991, 209) = 23
Disparity of Point  19167 =  (995, 209) = 23
Disparity of Point  19168 =  (1017, 209) = 25
Disparity of Point  19169 =  (1017, 209) = 25
Disparity of Point  19171 =  (1025, 209) = 25
Disparity of Point  19178 =  (1035, 209) = 26
Disparity of Point  19179 =  (1035, 209) = 26
Disparity of Point  19184 =  (1053, 209) = 27
Disparity of Point  19185 =  (1054, 209) = 27
Disparity of Point  19186 =  (1056, 209) = 27
Disparity of Point  19189 =  (1066, 209) = 28
Disparity of Point  19194 =  (416, 210) = 14
Disparity of Point  19195 =  (416, 210) = 14
Disparity of Point  19198 =  (423, 210) = 14
Disparity of Point  19199 =  (423, 210) = 14
Disparity of Point  19200 =  (424, 210) = 14
Disparity of Point  19201 =  (424, 210) = 14
Disparity of Point  19209 =  (492, 210) = 12
Disparity of Point  19210 =  (492, 210) = 12
Disparity of Point  19211 =  (493, 210) = 12
Disparity of Point  19212 =  (493, 210) = 12
Disparity of Point  19213 =  (622, 210) = 12
Disparity of Point  19214 =  (622, 210) = 12
Disparity of Point  19216 =  (635, 210) = 12
Disparity of Point  19218 =  (643, 210) = 12
Disparity of Point  19219 =  (643, 210) = 12
Disparity of Point  19220 =  (644, 210) = 12
Disparity of Point  19228 =  (728, 210) = 26
Disparity of Point  19229 =  (728, 210) = 26
Disparity of Point  19230 =  (742, 210) = 25
Disparity of Point  19233 =  (752, 210) = 26
Disparity of Point  19234 =  (753, 210) = 26
Disparity of Point  19235 =  (753, 210) = 26
Disparity of Point  19240 =  (795, 210) = 27
Disparity of Point  19260 =  (945, 210) = 20
Disparity of Point  19261 =  (945, 210) = 20
Disparity of Point  19266 =  (979, 210) = 22
Disparity of Point  19270 =  (985, 210) = 23
Disparity of Point  19273 =  (990, 210) = 23
Disparity of Point  19274 =  (990, 210) = 23
Disparity of Point  19276 =  (994, 210) = 23
Disparity of Point  19277 =  (994, 210) = 23
Disparity of Point  19279 =  (996, 210) = 23
Disparity of Point  19280 =  (996, 210) = 23
Disparity of Point  19295 =  (1011, 210) = 24
Disparity of Point  19296 =  (1011, 210) = 24
Disparity of Point  19297 =  (1027, 210) = 25
Disparity of Point  19310 =  (1044, 210) = 26
Disparity of Point  19315 =  (1050, 210) = 27
Disparity of Point  19316 =  (1050, 210) = 27
Disparity of Point  19319 =  (1057, 210) = 27
Disparity of Point  19320 =  (1057, 210) = 27
Disparity of Point  19321 =  (1060, 210) = 27
Disparity of Point  19322 =  (1060, 210) = 27
Disparity of Point  19324 =  (1069, 210) = 28
Disparity of Point  19327 =  (369, 211) = 13
Disparity of Point  19330 =  (382, 211) = 13
Disparity of Point  19331 =  (382, 211) = 13
Disparity of Point  19337 =  (483, 211) = 12
Disparity of Point  19338 =  (483, 211) = 12
Disparity of Point  19349 =  (631, 211) = 12
Disparity of Point  19350 =  (632, 211) = 12
Disparity of Point  19353 =  (648, 211) = 13
Disparity of Point  19354 =  (648, 211) = 13
Disparity of Point  19363 =  (742, 211) = 25
Disparity of Point  19385 =  (938, 211) = 20
Disparity of Point  19386 =  (939, 211) = 20
Disparity of Point  19387 =  (939, 211) = 20
Disparity of Point  19391 =  (944, 211) = 20
Disparity of Point  19392 =  (944, 211) = 20
Disparity of Point  19397 =  (950, 211) = 21
Disparity of Point  19398 =  (950, 211) = 21
Disparity of Point  19401 =  (993, 211) = 23
Disparity of Point  19402 =  (993, 211) = 23
Disparity of Point  19408 =  (1040, 211) = 26
Disparity of Point  19409 =  (1040, 211) = 26
Disparity of Point  19412 =  (1057, 211) = 27
Disparity of Point  19413 =  (1057, 211) = 27
Disparity of Point  19414 =  (1066, 211) = 28
Disparity of Point  19415 =  (1066, 211) = 28
Disparity of Point  19420 =  (367, 212) = 14
Disparity of Point  19421 =  (370, 212) = 13
Disparity of Point  19422 =  (370, 212) = 13
Disparity of Point  19425 =  (383, 212) = 13
Disparity of Point  19426 =  (383, 212) = 13
Disparity of Point  19432 =  (401, 212) = 13
Disparity of Point  19433 =  (401, 212) = 13
Disparity of Point  19438 =  (406, 212) = 13
Disparity of Point  19439 =  (416, 212) = 14
Disparity of Point  19440 =  (416, 212) = 14
Disparity of Point  19441 =  (455, 212) = 14
Disparity of Point  19447 =  (486, 212) = 12
Disparity of Point  19448 =  (486, 212) = 12
Disparity of Point  19449 =  (486, 212) = 12
Disparity of Point  19458 =  (633, 212) = 13
Disparity of Point  19461 =  (647, 212) = 13
Disparity of Point  19462 =  (648, 212) = 13
Disparity of Point  19463 =  (648, 212) = 13
Disparity of Point  19464 =  (722, 212) = 26
Disparity of Point  19465 =  (722, 212) = 26
Disparity of Point  19466 =  (723, 212) = 26
Disparity of Point  19467 =  (725, 212) = 26
Disparity of Point  19468 =  (728, 212) = 26
Disparity of Point  19469 =  (728, 212) = 26
Disparity of Point  19470 =  (729, 212) = 26
Disparity of Point  19471 =  (729, 212) = 26
Disparity of Point  19477 =  (749, 212) = 26
Disparity of Point  19478 =  (749, 212) = 26
Disparity of Point  19479 =  (752, 212) = 26
Disparity of Point  19508 =  (934, 212) = 20
Disparity of Point  19509 =  (934, 212) = 20
Disparity of Point  19510 =  (935, 212) = 20
Disparity of Point  19511 =  (935, 212) = 20
Disparity of Point  19520 =  (1007, 212) = 24
Disparity of Point  19521 =  (1008, 212) = 24
Disparity of Point  19522 =  (1008, 212) = 24
Disparity of Point  19523 =  (1009, 212) = 24
Disparity of Point  19524 =  (1009, 212) = 24
Disparity of Point  19525 =  (1010, 212) = 24
Disparity of Point  19526 =  (1010, 212) = 24
Disparity of Point  19533 =  (1018, 212) = 25
Disparity of Point  19534 =  (1018, 212) = 25
Disparity of Point  19535 =  (1019, 212) = 25
Disparity of Point  19536 =  (1058, 212) = 27
Disparity of Point  19542 =  (367, 213) = 14
Disparity of Point  19543 =  (367, 213) = 14
Disparity of Point  19544 =  (416, 213) = 14
Disparity of Point  19545 =  (416, 213) = 14
Disparity of Point  19561 =  (631, 213) = 13
Disparity of Point  19562 =  (631, 213) = 13
Disparity of Point  19563 =  (633, 213) = 13
Disparity of Point  19564 =  (633, 213) = 13
Disparity of Point  19567 =  (643, 213) = 13
Disparity of Point  19575 =  (719, 213) = 26
Disparity of Point  19576 =  (719, 213) = 26
Disparity of Point  19579 =  (737, 213) = 26
Disparity of Point  19580 =  (738, 213) = 26
Disparity of Point  19581 =  (738, 213) = 26
Disparity of Point  19587 =  (744, 213) = 25
Disparity of Point  19588 =  (744, 213) = 25
Disparity of Point  19589 =  (750, 213) = 26
Disparity of Point  19604 =  (907, 213) = 20
Disparity of Point  19605 =  (907, 213) = 20
Disparity of Point  19626 =  (990, 213) = 23
Disparity of Point  19627 =  (990, 213) = 23
Disparity of Point  19628 =  (1004, 213) = 24
Disparity of Point  19629 =  (1004, 213) = 24
Disparity of Point  19630 =  (1005, 213) = 24
Disparity of Point  19631 =  (1005, 213) = 24
Disparity of Point  19632 =  (1048, 213) = 27
Disparity of Point  19633 =  (367, 214) = 14
Disparity of Point  19634 =  (368, 214) = 14
Disparity of Point  19635 =  (396, 214) = 14
Disparity of Point  19636 =  (396, 214) = 14
Disparity of Point  19639 =  (398, 214) = 14
Disparity of Point  19640 =  (415, 214) = 14
Disparity of Point  19641 =  (415, 214) = 14
Disparity of Point  19643 =  (455, 214) = 14
Disparity of Point  19644 =  (456, 214) = 14
Disparity of Point  19645 =  (456, 214) = 14
Disparity of Point  19646 =  (457, 214) = 14
Disparity of Point  19647 =  (457, 214) = 14
Disparity of Point  19662 =  (630, 214) = 13
Disparity of Point  19663 =  (630, 214) = 13
Disparity of Point  19673 =  (645, 214) = 14
Disparity of Point  19689 =  (734, 214) = 26
Disparity of Point  19690 =  (734, 214) = 26
Disparity of Point  19691 =  (740, 214) = 26
Disparity of Point  19692 =  (740, 214) = 26
Disparity of Point  19693 =  (740, 214) = 26
Disparity of Point  19695 =  (750, 214) = 26
Disparity of Point  19696 =  (750, 214) = 26
Disparity of Point  19711 =  (953, 214) = 21
Disparity of Point  19726 =  (982, 214) = 23
Disparity of Point  19727 =  (982, 214) = 23
Disparity of Point  19728 =  (983, 214) = 23
Disparity of Point  19729 =  (983, 214) = 23
Disparity of Point  19730 =  (988, 214) = 23
Disparity of Point  19731 =  (988, 214) = 23
Disparity of Point  19732 =  (988, 214) = 23
Disparity of Point  19733 =  (989, 214) = 23
Disparity of Point  19734 =  (989, 214) = 23
Disparity of Point  19735 =  (990, 214) = 23
Disparity of Point  19736 =  (1011, 214) = 24
Disparity of Point  19737 =  (1028, 214) = 25
Disparity of Point  19738 =  (1028, 214) = 25
Disparity of Point  19742 =  (369, 215) = 14
Disparity of Point  19743 =  (369, 215) = 14
Disparity of Point  19744 =  (370, 215) = 14
Disparity of Point  19745 =  (370, 215) = 14
Disparity of Point  19746 =  (389, 215) = 14
Disparity of Point  19747 =  (406, 215) = 14
Disparity of Point  19752 =  (412, 215) = 14
Disparity of Point  19753 =  (412, 215) = 14
Disparity of Point  19760 =  (462, 215) = 14
Disparity of Point  19761 =  (462, 215) = 14
Disparity of Point  19773 =  (640, 215) = 14
Disparity of Point  19774 =  (640, 215) = 14
Disparity of Point  19776 =  (645, 215) = 14
Disparity of Point  19783 =  (719, 215) = 26
Disparity of Point  19784 =  (735, 215) = 26
Disparity of Point  19785 =  (735, 215) = 26
Disparity of Point  19786 =  (735, 215) = 26
Disparity of Point  19790 =  (753, 215) = 26
Disparity of Point  19791 =  (753, 215) = 26
Disparity of Point  19792 =  (754, 215) = 26
Disparity of Point  19793 =  (754, 215) = 26
Disparity of Point  19794 =  (755, 215) = 26
Disparity of Point  19795 =  (755, 215) = 26
Disparity of Point  19797 =  (796, 215) = 27
Disparity of Point  19802 =  (846, 215) = 17
Disparity of Point  19803 =  (846, 215) = 17
Disparity of Point  19814 =  (969, 215) = 22
Disparity of Point  19815 =  (969, 215) = 22
Disparity of Point  19816 =  (970, 215) = 22
Disparity of Point  19817 =  (970, 215) = 22
Disparity of Point  19818 =  (971, 215) = 22
Disparity of Point  19820 =  (984, 215) = 23
Disparity of Point  19821 =  (984, 215) = 23
Disparity of Point  19824 =  (993, 215) = 23
Disparity of Point  19825 =  (1003, 215) = 24
Disparity of Point  19826 =  (1003, 215) = 24
Disparity of Point  19827 =  (1008, 215) = 24
Disparity of Point  19828 =  (1008, 215) = 24
Disparity of Point  19829 =  (1009, 215) = 24
Disparity of Point  19830 =  (1009, 215) = 24
Disparity of Point  19831 =  (1010, 215) = 24
Disparity of Point  19832 =  (1010, 215) = 24
Disparity of Point  19833 =  (1011, 215) = 24
Disparity of Point  19836 =  (1022, 215) = 25
Disparity of Point  19837 =  (1022, 215) = 25
Disparity of Point  19840 =  (1024, 215) = 25
Disparity of Point  19841 =  (1024, 215) = 25
Disparity of Point  19844 =  (1037, 215) = 26
Disparity of Point  19845 =  (1037, 215) = 26
Disparity of Point  19856 =  (1056, 215) = 27
Disparity of Point  19857 =  (1056, 215) = 27
Disparity of Point  19858 =  (1057, 215) = 27
Disparity of Point  19859 =  (1057, 215) = 27
Disparity of Point  19862 =  (1059, 215) = 27
Disparity of Point  19863 =  (1059, 215) = 27
Disparity of Point  19876 =  (373, 216) = 14
Disparity of Point  19877 =  (373, 216) = 14
